place_id,name,formatted_address,high_chair_available,kids_menu,spacious_seating,kid_noise_tolerant,review_signals,ai_summary,ai_summary_refined,ai_summary_final_v4,ai_summary_final_clean,ai_summary_humanized
ChIJB3tqu_WpQjQR4k8D1g1BPUI,Q Burger 中山農安店(直營),104臺灣臺北市中山區農安街170號,unknown,unknown,yes,yes,買了Q堡簡易套餐 | 無論速度。服務。餐點都非常棒,這裡有寬敞的座位區、對孩童聲音較為包容，買了Q堡簡易套餐，是十分熱門的親子友善漢堡店，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：買了Q堡簡易套餐 | 無論速度。服務。餐點都非常棒）,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，買了Q堡簡易套餐 | 無論速度。,整體來看，座位空間較寬敞，整體氛圍對親子用餐較包容，對家庭客群而言，整體便利度較高。,整體來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，對家庭客人來說會比較方便。
ChIJBy9WAHyrQjQRCDU8Cp-PLAc,子木咖啡,105臺灣臺北市松山區延壽街412號,unknown,yes,no,yes,我點了寶寶餐來吃,這裡有兒童餐、對孩童聲音較為包容，我點了寶寶餐來吃，是氣氛溫馨的親子友善咖啡廳，適合與家人一同前往品味。,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：我點了寶寶餐來吃）,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,從親子用餐角度來看，備有兒童餐，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,從親子用餐角度來看，有兒童餐可選，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJCyKuHW-sQjQRLbLgae6QWSU,Second Floor 貳樓西湖店,114臺灣臺北市內湖區內湖路一段300號,unknown,yes,unknown,yes,兒童慶生還有特別的佈置與蛋糕,這裡有兒童餐、對孩童聲音較為包容，兒童慶生還有特別的佈置與蛋糕，是精緻的親子友善餐廳，適合與家人一同前往品味。,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：兒童慶生還有特別的佈置與蛋糕）,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,這家餐廳備有兒童餐，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,這家餐廳有兒童餐可選，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJd8JMXwKtQjQRtcgmBVKpiOs,Timama kitchen,114臺灣臺北市內湖區江南街71巷16弄32號,unknown,unknown,yes,yes,,這裡有寬敞的座位區、對孩童聲音較為包容，是十分熱門的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,以家庭聚餐需求來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,以家庭聚餐需求來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJd9QKFaWuQjQRLPGO-ltaXj4,歡樂便所主題餐廳,111臺灣臺北市士林區文林路173號2F,unknown,unknown,yes,yes,3樓較寬敞,這裡有寬敞的座位區、對孩童聲音較為包容，3樓較寬敞，是氣氛溫馨的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：3樓較寬敞）,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，3樓較寬敞。,這家餐廳座位空間較寬敞，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,這家餐廳座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJeY-MOqSrQjQR30bwWOZVEcA,早點醒,110臺灣臺北市信義區信義路五段150巷14弄12號,unknown,unknown,unknown,yes,生意很好！有許多組都在候位,這裡有對孩童聲音較為包容，生意很好！有許多組都在候位，是十分熱門的親子友善餐廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：生意很好！有許多組都在候位）,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,這家餐廳整體氛圍對親子用餐較包容，對家庭客群而言，整體便利度較高。,這家餐廳整體氛圍對孩子活動較能接受，對家庭客人來說會比較方便。
ChIJfepvyousQjQRq2rFXvS-esU,象園咖啡內湖店,114臺灣臺北市內湖區內湖路二段192號,yes,yes,unknown,yes,不愧是親子餐廳,這裡有嬰兒椅、兒童餐、對孩童聲音較為包容，不愧是親子餐廳，是氣氛溫馨的親子友善咖啡廳，適合與家人一同前往品味。,提供嬰兒椅、提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：不愧是親子餐廳）,提供嬰兒椅、提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，對帶嬰幼兒的家庭較為便利。,整體來看，提供嬰兒椅，備有兒童餐，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,整體來看，有提供嬰兒椅，有兒童餐可選，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJFRwCvjitQjQRIUW3FrHbvlw,白菜小姐義式坊,114臺灣臺北市內湖區江南街71巷16弄40號,unknown,unknown,yes,yes,,這裡有寬敞的座位區、對孩童聲音較為包容，是氣氛溫馨的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,整體來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,整體來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJfzjbheitQjQRa3PNwDBxq6E,WilsonPark 威爾森公園 （Steak & Wine）,114臺灣臺北市內湖區民權東路六段125之1號,unknown,unknown,yes,unknown,提供包廂座位，空間溫暖舒服,這裡有寬敞的座位區，提供包廂座位，空間溫暖舒服，是口碑不錯的親子友善牛排館，適合與家人一同前往品味。,座位空間較寬敞，整體環境對帶小孩的家庭較為友善。（評論顯示：提供包廂座位，空間溫暖舒服）,座位空間較寬敞，整體環境對帶小孩的家庭較為友善，提供包廂座位。,這家餐廳座位空間較寬敞，用餐節奏相對從容，作為親子聚餐選擇會相對方便。,這家餐廳座位空間不擁擠，用餐節奏比較放鬆，用來安排親子聚餐也滿合適。
ChIJhxfETbyuQjQRmD7M7JYcSXk,巧果子,111臺灣臺北市士林區美崙街78號,unknown,yes,unknown,yes,,這裡有兒童餐、對孩童聲音較為包容，是精緻的親子友善餐廳，適合與家人一同前往品味。,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,提供兒童餐、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，對孩子用餐需求較為友善。,從親子用餐角度來看，備有兒童餐，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,從親子用餐角度來看，有兒童餐可選，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJHZ56gp6uQjQRYaoc4dyx2lM,吉祥小館,111臺灣臺北市士林區雨農路31號,unknown,unknown,unknown,yes,,這裡有對孩童聲音較為包容，是精緻的親子友善餐廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,整體來看，整體氛圍對親子用餐較包容，對家庭客群而言，整體便利度較高。,整體來看，整體氛圍對孩子活動較能接受，對家庭客人來說會比較方便。
ChIJj9j7W2WrQjQR_UgmSg_0jkw,LOST and Found,106臺灣臺北市大安區敦化南路二段11巷50號,unknown,unknown,yes,yes,環境跟桌距都很棒,這裡有寬敞的座位區、對孩童聲音較為包容，環境跟桌距都很棒，是口碑不錯的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：環境跟桌距都很棒）,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，環境跟桌距都很棒。,從親子用餐角度來看，座位空間較寬敞，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,從親子用餐角度來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJKcM2uWSrQjQRfon8d41sbGo,UMAMI 金色三麥,110臺灣臺北市信義區松智路17號7樓,unknown,unknown,yes,no,挑高的空間搭配華麗的水晶吊燈,這裡有寬敞的座位區，挑高的空間搭配華麗的水晶吊燈，是口碑不錯的親子友善餐廳，適合與家人一同前往品味。,座位空間較寬敞，整體環境對帶小孩的家庭較為友善。（評論顯示：挑高的空間搭配華麗的水晶吊燈）,座位空間較寬敞，整體環境對帶小孩的家庭較為友善，整體用餐空間較為寬鬆。,這家餐廳座位空間較寬敞，整體對帶小孩前往用餐較為友善。,這家餐廳座位空間不擁擠，帶小孩來用餐相對輕鬆。
ChIJLU4r6jurQjQRrr44krDtxuY,齊客咖啡 The Gathering Cafe,105臺灣臺北市松山區健康路8巷5號1樓,unknown,unknown,unknown,yes,,這裡有對孩童聲音較為包容，是精緻的親子友善咖啡廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,這家咖啡廳整體氛圍對親子用餐較包容，整體環境較適合親子同行。,這家咖啡廳整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJlVNfWeqrQjQRqO4OMZ0keZ4,羽樂歐陸創意料理,105臺灣臺北市松山區南京東路四段162號,unknown,unknown,unknown,yes,,這裡有對孩童聲音較為包容，是口碑不錯的親子友善料理店，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,整體來看，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,整體來看，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJM9l4kmOpQjQR9DEpCZWOlCM,遊霂食光 MuMu Land | 親子友善 | 健康餐點 | 外送便當,108臺灣臺北市萬華區西園路一段145號號店坊B2樓-7,unknown,yes,yes,yes,點了兩份餐+兒童餐 | 用餐環境舒適，座位也很寬敞,這裡有兒童餐、寬敞的座位區、對孩童聲音較為包容，點了兩份餐+兒童餐，是精緻的親子友善餐廳，適合與家人一同前往品味。,提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：點了兩份餐+兒童餐 | 用餐環境舒適，座位也很寬敞）,提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，點了兩份餐+兒童餐 | 用餐環境舒適。,整體來看，備有兒童餐，座位空間較寬敞，整體氛圍對親子用餐較包容，用餐節奏相對從容，整體對帶小孩前往用餐較為友善。,整體來看，有兒童餐可選，座位空間不擁擠，整體氛圍對孩子活動較能接受，用餐節奏比較放鬆，帶小孩來用餐相對輕鬆。
ChIJMUAZ63CpQjQRWLCOjtIeWkk,打卡咖啡館迪化店,103臺灣臺北市大同區民生西路410號,unknown,unknown,no,yes,空間小客人講話幹擾大,這裡有對孩童聲音較為包容，空間小客人講話幹擾大，是環境舒適的親子友善咖啡廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：空間小客人講話幹擾大）,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，空間小客人講話幹擾大。,以家庭聚餐需求來看，整體氛圍對親子用餐較包容，對家庭客群而言，整體便利度較高。,以家庭聚餐需求來看，整體氛圍對孩子活動較能接受，對家庭客人來說會比較方便。
ChIJMUwgSuKrQjQRizcHD3amAgk,拉亞漢堡 臺北錦州,10491臺灣臺北市中山區錦州街341號,unknown,unknown,unknown,yes,聯名商品可愛,這裡有對孩童聲音較為包容，聯名商品可愛，是氣氛溫馨的親子友善漢堡店，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：聯名商品可愛）,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，聯名商品可愛。,整體來看，整體氛圍對親子用餐較包容，對家庭客群而言，整體便利度較高。,整體來看，整體氛圍對孩子活動較能接受，對家庭客人來說會比較方便。
ChIJMXDWhoWpQjQRJvXnYteR7xE,Bistro O 避世所,106臺灣臺北市大安區師大路49巷3號2樓,unknown,unknown,no,yes,,這裡有對孩童聲音較為包容，是質感佳的親子友善餐酒館，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,這家餐酒館整體氛圍對親子用餐較包容，作為親子聚餐選擇會相對方便。,這家餐酒館整體氛圍對孩子活動較能接受，用來安排親子聚餐也滿合適。
ChIJN2UHYkCpQjQRwdxAiIhBEac,豐萃早午餐,104臺灣臺北市中山區撫順街9號,unknown,unknown,no,yes,,這裡有對孩童聲音較為包容，是環境舒適的親子友善早午餐店，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,整體來看，整體氛圍對親子用餐較包容，作為親子聚餐選擇會相對方便。,整體來看，整體氛圍對孩子活動較能接受，用來安排親子聚餐也滿合適。
ChIJnZy-IMqvQjQRhdX2w_4HcKs,Cafe La Connection,111臺灣臺北市士林區華聲街87號,unknown,unknown,yes,yes,環境舒適，座位空間不擁擠,這裡有寬敞的座位區、對孩童聲音較為包容，環境舒適，座位空間不擁擠，是氣氛溫馨的親子友善咖啡廳，適合與家人一同前往品味。,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：環境舒適，座位空間不擁擠）,座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,從親子用餐角度來看，座位空間較寬敞，整體氛圍對親子用餐較包容，用餐節奏相對從容，對家庭客群而言，整體便利度較高。,從親子用餐角度來看，座位空間不擁擠，整體氛圍對孩子活動較能接受，用餐節奏比較放鬆，對家庭客人來說會比較方便。
ChIJO0Um2CmqQjQR1K5YldZ8Ibw,Oneway CAFE玩味咖啡,106臺灣臺北市大安區和平東路二段118巷38-1號,unknown,unknown,no,yes,,這裡有對孩童聲音較為包容，是氣氛溫馨的親子友善咖啡廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,以家庭聚餐需求來看，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,以家庭聚餐需求來看，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJo5uKl5ipQjQRUDGwOBCHUWs,農人餐桌,100臺灣臺北市中正區重慶南路二段51號B1永豐餘大樓內,yes,yes,yes,yes,空間很大適合多人聚餐 | 空間很寬敞，很適合親子聚會 | 挺適合兩歲多的孩子,這裡有嬰兒椅、兒童餐、寬敞的座位區、對孩童聲音較為包容，空間很大適合多人聚餐，是精緻的親子友善餐廳，適合與家人一同前往品味。,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：空間很大適合多人聚餐 | 空間很寬敞，很適合親子聚會 | 挺適合兩歲多的孩子）,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,以家庭聚餐需求來看，提供嬰兒椅，備有兒童餐，座位空間較寬敞，整體氛圍對親子用餐較包容，整體對帶小孩前往用餐較為友善。,以家庭聚餐需求來看，有提供嬰兒椅，有兒童餐可選，座位空間不擁擠，整體氛圍對孩子活動較能接受，帶小孩來用餐相對輕鬆。
ChIJO6GuZb6sQjQRpNEp6bTjfr8,Seeking Café,114臺灣臺北市內湖區成功路五段420巷11號,unknown,unknown,no,yes,,這裡有對孩童聲音較為包容，是口碑不錯的親子友善餐廳，適合與家人一同前往品味。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。,對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，用餐氛圍相對輕鬆。,以家庭聚餐需求來看，整體氛圍對親子用餐較包容，整體環境較適合親子同行。,以家庭聚餐需求來看，整體氛圍對孩子活動較能接受，帶小孩來用餐會比較輕鬆。
ChIJoaP21WOpQjQRujwXUxC4FME,淘憩時光親子餐廳・義大利麵・手作燉飯・現烤鬆餅 | 包場派對 | 場地租借,104臺灣臺北市中山區松江路69巷5號,yes,yes,yes,yes,還有提供熱水、尿布臺 | 還有提供寶寶粥,這裡有嬰兒椅、兒童餐、寬敞的座位區、對孩童聲音較為包容，還有提供熱水、尿布臺，是環境舒適的親子友善義大利麵店，適合與家人一同前往品味。,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：還有提供熱水、尿布臺 | 還有提供寶寶粥）,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，對帶嬰幼兒的家庭較為便利。,以家庭聚餐需求來看，提供嬰兒椅，備有兒童餐，座位空間較寬敞，整體氛圍對親子用餐較包容，也可見嬰幼兒照顧相關細節，對家庭客群而言，整體便利度較高。,以家庭聚餐需求來看，有提供嬰兒椅，有兒童餐可選，座位空間不擁擠，整體氛圍對孩子活動較能接受，也可見嬰幼兒照顧相關細節，對家庭客人來說會比較方便。
ChIJoU4aSrSrQjQRcIkiMAukmFw,撞個咖啡Drunkard cafe,105臺灣臺北市松山區寧安街5巷2-8號,unknown,unknown,no,unknown,,這裡雖然目前育兒設施資訊較少，但環境氛圍較為大眾化，是個溫馨的咖啡廳選擇。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估，建議可依實際需求進一步評估。,現有評論提供的親子用餐線索有限，若有育兒設備需求，建議先向店家確認。,親子相關線索不多，有需求建議先詢問店家。
ChIJoV5Vt-CrQjQRX99q0bEVO_k,Le Park Cafe公園咖啡館,104臺灣臺北市中山區遼寧街146號,unknown,unknown,unknown,unknown,,目前尚無明確的專屬設備資訊，不過這裡的用餐氣氛輕鬆，適合一般家庭聚餐。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估。,目前未見明確育兒相關設施資訊，是否適合帶小孩用餐仍需依實際情況評估，建議可依實際需求進一步評估。,從目前資訊來看，尚無法明確判斷這家咖啡廳的親子友善程度，可再搭配實際需求評估。,從目前資訊來看，尚無法明確判斷這家咖啡廳的親子友善程度，可再搭配實際需求評估。
ChIJoZlomYarQjQRQ6dO-drU7eg,媽妳講親子餐廳 (MONEY JUMP),114臺灣臺北市內湖區民善街127號2 樓,yes,yes,yes,yes,室內空間非常大.而且很舒適 | 夢幻旋轉木馬親子餐廳,這裡有嬰兒椅、兒童餐、寬敞的座位區、對孩童聲音較為包容，室內空間非常大.而且很舒適，是環境舒適的親子友善餐廳，適合與家人一同前往品味。,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善。（評論顯示：室內空間非常大.而且很舒適 | 夢幻旋轉木馬親子餐廳）,提供嬰兒椅、提供兒童餐、座位空間較寬敞、對孩童活動較為包容，整體環境對帶小孩的家庭較為友善，室內空間非常大.而且很舒適 | 夢幻旋轉木馬親子餐廳。,這家親子餐廳提供嬰兒椅，備有兒童餐，座位空間較寬敞，整體氛圍對親子用餐較包容，用餐節奏相對從容，整體環境較適合親子同行。,這家親子餐廳有提供嬰兒椅，有兒童餐可選，座位空間不擁擠，整體氛圍對孩子活動較能接受，用餐節奏比較放鬆，帶小孩來用餐會比較輕鬆。
