place_id,name,phone,website_url,reservation_url
ChIJTbpsvFeuQjQRtpga2T4opBs,221食堂,02 2898 2133,,
ChIJtw5OakipQjQRbMVgZ25379M,272早午餐,02 2595 3201,,
ChIJgdysVU2vQjQRuq5CG1Ya-b4,292早餐店,02 2883 4253,,
ChIJu1lFmSuqQjQRk53G7FFCMNo,29號館 義大利麵,02 2706 6577,https://www.facebook.com/No.29thPastaRestaurant,
ChIJUcTSlCqqQjQRxgKeev6eUXw,2J CAFE,02 2700 3783,http://linktr.ee/2jcafe,
ChIJg5qWU7irQjQR2loPcpgDxdE,30 BRUNCH,02 8789 2663,https://www.instagram.com/30thirty_bistro?igsh=MTJyZWc4aTdsamNydw%3D%3D&utm_source=qr,
ChIJJTPZCnStQjQRIYdV7Je_P8E,30小時老麵吐司,02 2630 8050,,
ChIJgUo_u46uQjQRTuXU4tZmReM,313鵝肉擔,02 2826 1751,https://www.facebook.com/pages/313%E9%B5%9D%E8%82%89%E6%94%A4/122464341164582,
ChIJLYuEGmKpQjQRPcp6vt8pTnM,4+ Break Breakfast,02 2507 3505,https://www.facebook.com/4breakbreakfast/,
ChIJvzjuDb2sQjQReX8NDADrayk,55号BRUNCH早餐店,02 2634 2821,,
ChIJLdS6e-yvQjQRPR4mQ-uDddo,86義大利麵,02 2838 1689,https://www.facebook.com/86fresh/,
ChIJqb3l_mSrQjQRvv23ZQASjrI,90sec PIZZA 九十秒窯烤披薩,02 2721 1508,https://90secpizza.oddle.me/zh_TW/,
ChIJdYbLUxOvQjQRfTcV2nf560Q,92水鳥,02 2858 8668,https://www.tapashouse.com.tw/tapas92,
ChIJc3mO3Y-pQjQRu0eMzMjdyj0,一屋 x COUPLE²,0903 509 510,https://inline.app/booking/-NbHmY8nPxZ404Y--eCn:inline-live-3/-NbHmYaOw5rOusmzdn2y,
ChIJqekue9yrQjQR6OpTrxGHO9U,一茶一瓦 OTOT,02 2775 2777,https://www.otot.com.tw/,
ChIJ_at8yxipQjQRoy_8Sfl7fjk,一間咖啡花茶簡餐店,02 2388 9688,https://www.facebook.com/pages/J%E4%B8%80%E9%96%93%E5%92%96%E5%95%A1%E8%8A%B1%E8%8C%B6%E7%B0%A1%E9%A4%90/254929871269940,
ChIJv3Jm0qipQjQRO4TqszGi_fc,一鑫(一心)鵝肉,02 2306 8838,,
ChIJxzPiMampQjQR7lFBc-z3SSs,九日咖啡（老店）9 Days Coffee,02 2306 2885,,
ChIJE63C8fypQjQRocBKJlXHlC8,九月茶餐廳,0933 002 233,https://www.facebook.com/September19940914/,
ChIJQ7TFVlmpQjQRuitpST9NrpY,九如 義大利麵 蛋包飯,02 2542 3321,,
ChIJV3gdP2ivQjQRGIffCx1zcsM,九湯屋日式拉麵 台北士林中正店,02 2831 0190,,
ChIJFVHeZlypQjQRn6Cbt_jLTD0,九點零一分韓式早午餐,0908 163 036,https://myppt.cc/JUekn,
ChIJk0LydwWvQjQRaRVaP2OOp3o,八方悅日式鍋物 北投永興店,02 8228 7399,https://8funyay.com/,
ChIJZcgOlIeuQjQRutc16fs58Hg,八藤家,02 2875 3063,https://www.instagram.com/abc28753185/,
ChIJ929ecNCrQjQRDBlncDmASXA,十得私廚-台菜料理,0933 737 893,https://shidecomtw.com/,
ChIJF52lPTWpQjQROyhGZ90skmk,三代魚翅羹,02 2331 5600,,
ChIJSWJDv_SrQjQR5qvn_mwEjwU,三亞米售完提早打烊，最後點菜16:30,02 2346 0002,,
ChIJ0VQM3aKrQjQRUZ8FG4sSA-s,三隻猴子美食廚房 3 Monkeys kitchen,02 2662 0055,https://www.facebook.com/3-monkeys-%E4%B8%89%E9%9A%BB%E7%8C%B4%E5%AD%90%E7%BE%8E%E9%A3%9F%E5%BB%9A%E6%88%BF-107222184809211/,
ChIJc1u3TfurQjQRskNy0tE9hCg,上山採覓,02 2517 0709,https://lifemoun.tw/,
ChIJg2MM8VGuQjQRF16ushVKQGw,上享庭園餐廳,02 2894 1808,https://inline.app/booking/-LmdC7mfh9gjasAHdJAx:inline-live-1/-LmdC8C0kQOPWfguGvlm?language=zh-tw,
ChIJN7t0M02qQjQR30gCnEEMbhw,上品客家小館,02 2758 0045,http://www.facebook.com/changmama269,
ChIJnclSGvKrQjQRnGBYr16yeU0,上海宴,0989 936 108,https://www.facebook.com/shanghaiyan888/,
ChIJX8eX-HapQjQRy9LwKA9dxCM,上海鄉村 濟南店,02 2322 3333,http://www.shanghaikitchen.com.tw/,
ChIJ_9PRANKrQjQRbo33FDEvocI,千螢早餐店,02 2755 7760,,
ChIJuTv1NLuuQjQRgFqC2vVgK1E,士林放感情餐酒館,02 2882 8666,https://linktr.ee/odin.shilin,
ChIJW5esxZeuQjQRlWxyAQ4gFyE,士林廣澤擔仔麵,02 2836 8988,https://sites.google.com/view/guang-ze-dan-zi-mian/,
ChIJQQ4fUYqpQjQRo8HegHH7Yew,大一女美食餐廳,02 8369 5637,,
ChIJubOd-nKpQjQR9ZIk7V6t7WE,大戶屋 台北凱撒店,02 2361 2377,http://www.ootoya.com.tw/,
ChIJS2oVop6rQjQRF7WCG3-Tzwk,大戶屋 松山車站店,02 2528 7775,http://www.ootoya.com.tw/,
ChIJ3259YLmrQjQRvk0pEymzGXQ,大戶屋 統一時代台北店,02 8978 0886,http://www.ootoya.com.tw/,
ChIJGeUSyV6pQjQR3ChjSq2Pzmc,大戶屋行天宮站店,02 2562 5811,,
ChIJia7qaLusQjQRKvLJZQ-O7g4,大戶屋東湖店,02 2633 8839,http://www.ootoya.com.tw/,
ChIJgcXkf1CuQjQRc3SOGvEDkvk,大戶屋新北投店,02 2895 1255,http://www.ootoya.com.tw/,
ChIJuX3KNWipQjQROrWPgPThYhc,大戶屋誠品南西店,02 2531 1808,http://www.ootoya.com.tw/,
ChIJdx-Kr5OvQjQR7EqeVkiFsWk,大木屋,02 8866 1882,,
ChIJVd0MSQCtQjQRV5g7MSonfVA,大江戶町 鰻屋-LaLaport南港店,02 2789 3838,https://www.topmaguro.com.tw/,
ChIJ01YLW3-rQjQRzHtinzvbCJk,大河牧場 漢堡排專売-南港環球店,02 2653 2238,https://www.facebook.com/share/VEybxosxoRJGfSNh/?mibextid=%22%22,
ChIJcY8PAKepQjQR2amPr6VDbIo,大城早午餐,02 2308 5878,https://www.facebook.com/%E5%A4%A7%E5%9F%8E%E6%97%A9%E5%8D%88%E9%A4%90-1628353847381724/,
ChIJb5lNxSqtQjQRf59m5TxmF_o,大春廚房,0987 944 284,https://www.facebook.com/%E5%A4%A7%E6%98%A5%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5-2229061397338336/,
ChIJr_Ztmn2uQjQRvLHz4FTo-_Q,大為廚坊,02 2871 7766,https://www.facebook.com/%E5%A4%A7%E7%82%BA%E5%BB%9A%E5%9D%8A-636545429821565/,
ChIJE3nu7rWpQjQRaQOvDIWq5FM,大院子,02 2369 7357,https://www.facebook.com/TheHistoricalGrandCourtyard/,
ChIJm_pGd5arQjQRsD_vJMWg8Cc,大烹小饌,02 2756 0882,https://greathuda.com/,
ChIJb8PqPa2rQjQRFccELUVuSlo,大烹小饌 福客粥,02 2747 6261,https://www.greathuta.com/,
ChIJedKtv4atQjQRWnFLUWmqUTA,大勝手作早午餐內湖店,0912 446 255,,
ChIJncAQtGGsQjQR88wpyzdS0dg,大湖餐館 內湖,02 2627 0675,https://www.facebook.com/dahu0675,
ChIJ5c_DMaKpQjQRvlJFgB4AboI,大象飯館(大象吃咖哩2.0),02 2599 5595,,
ChIJC8EevbSrQjQRptByC6VR5rk,大蒜義式加州廚房,02 2758 5918,,
ChIJC5v3WaapQjQR7-Pb6CAyHgw,大稻埕貴賓 寵物友善餐廳 standard poodle coffee,02 2550 9399,http://www.facebook.com/oppapoodle,
ChIJaSZ-CpupQjQRaqvVbaJ4FaM,大樹先生的家,02 3393 3313,https://mr-tree.webnode.tw/,
ChIJOevZzWypQjQRwmWHkTUjhWg,大樹義麵坊-師大店,02 2363 6666,,
ChIJ24Za5H-uQjQRVinjqQDbZUo,女娘的店,02 2874 1981,https://redlantern.eatingout.com.tw/catalog.asp,
ChIJBy9WAHyrQjQRCDU8Cp-PLAc,子木咖啡,02 2713 4890,,
ChIJ34cvQ2ipQjQRnOh2lyvPml0,小小麥台北南西店,02 2558 2258,https://instagram.com/komugi.tpe2?igshid=YmMyMTA2M2Y=,
manual-little-tree-food-0km,小小樹食 0km 山物所,02 2391 0536,https://inline.app/booking/littletreefood/0km,
manual-little-tree-food-daan,小小樹食 大安店,02 2778 2277,https://linktr.ee/littletreefood,
manual-little-tree-food-noke,小小樹食 忠泰店 NOKE,02 8502 0989,https://www.noke.littletreefood.com/,
manual-little-tree-food-dunnan,小小樹食 敦南店,02 2700 0313,https://linktr.ee/littletreefood,
manual-little-tree-food-breeze-nanshan,小小樹食 微風南山店,02 2723 5706,https://inline.app/booking/-LCT4oHitovQihh2tDEP/-O5MWWyhWleSNYUr57-T,
manual-little-tree-food-diamond-towers,小小樹食 Diamond Towers 店,02 2721 7728,https://linktr.ee/littletreefood,
ChIJjTvL5jEAaDQRNmeCT3xxzxU,小日子lazyday,02 2301 7070,https://www.facebook.com/lazyday,
ChIJ4Vx5-gSqQjQR9dxFaLnn8c8,小木偶Brunch,02 2933 0038,https://store.dudooeat.com/order/store/b41ccd77a6bd4e51b50f375912296d05,
ChIJg46c7XqpQjQRteb5r9TthIg,小皮蛋食堂,0982 178 655,https://portal.wifiotg.com/activities/E4gnJlvmW/link/QaNXGbOQl?campaignId=E4gnJlvmW&campaignType=activity&sourceType=links&businessId=P_6JLEqvq0N,
ChIJsU0If6ivQjQRwIx85Fv2f_o,小肚子私房料理,02 2832 2520,https://store.dudooeat.com/order/store/9f863c236d1448bcb4145f31e2fb9cc8,
ChIJ3WmlLQCvQjQRVKI5zuRlEsU,小豆島日式烏龍麵(石牌形象店),02 2828 3368,,
ChIJJZUgxIqpQjQRNgt_MjaUBB0,小旺號 - 公館店,02 2367 8716,http://www.showwant.com.tw/,
ChIJX4JLHaipQjQRfvkdSezeSEs,小林英夫日本料理,02 2388 5233,https://cobasushi2011.weebly.com/,
ChIJufENh4-pQjQR97xj6L-J9eo,小南風咖啡 Minami Cafe,02 2362 2737,https://minamicafe.carrd.co/,
ChIJbxyLRlirQjQRRO4iZVRY6Uc,小南港-懶人私廚,0905 271 685,http://www.facebook.com/Nankang2014,
ChIJr3yJdCivQjQRTw7whA_c6VU,小紅花Cafe,0981 097 975,,
ChIJdUh_TNGtQjQRQVbtYiPl_1w,小庭院泰食,02 2657 1460,https://xiaotingyuan.weebly.com/,
ChIJNb6GQrWpQjQRImUqecT3qcQ,小紐約披薩 中山店 LNYPIZZA Little New York Pizzeria Zhongshan,02 2511 0105,https://www.facebook.com/lnyzhongshan/?modal=admin_todo_tour,
ChIJ0cV-48OrQjQRnS93QuZM59k,小紐約披薩 敦南店 LNYPIZZA Dunnan little New York pizzeria,02 2579 6692,https://www.instagram.com/,
ChIJB8HhqYurQjQRSOLmsl5TQFQ,小院子⋄特色地方熱炒⋄陝西外省⋄麵食⋄飯類⋄,02 3765 1103,https://xiaoyuanzi-rechao.weebly.com/,
ChIJF7lrSvypQjQRsMaVPJ1hw1M,小船故事館Ｉ桌遊咖啡廳,02 2331 0566,https://paperboat-storyhouse.com/,
ChIJVVVVVRWsQjQRmPdlBQr3qys,小飯館兒,02 2369 8800,,
ChIJtQu-B5yrQjQRnaOoD4-V3VY,小義城義大利麵 本店 ( 松山 ),02 2747 6653,https://www.facebook.com/easonpasta,
ChIJeWZB7-upQjQR2XDGRe7nT_I,小蒔日咖哩,02 2559 0100,,
ChIJo7MDdNOrQjQRHj-ZspLJxYw,小器食堂微風南山店,02 2723 0979,https://thexiaoqi.com/,
ChIJtb9NmICsQjQRnd1IUZ7oRaY,小樹天然早午餐,02 2630 5807,https://www.facebook.com/profile.php?id=100043052007030,
ChIJX5yZXwCrQjQRKUrbiH1XkVY,小韓室 韓食 飯捲專賣 @台北松山店,02 2748 5988,https://www.instagram.com/kimbap_room,
ChIJsyC8HAmpQjQRJhlFsK6wvYA,小鬍子丼ヒゲちゃん,02 2314 3554,,
ChIJ2S6bSsarQjQRoYoAwWWKZGM,山本漢堡排,02 2711 3816,https://www.facebook.com/orehan.taiwan/,
ChIJk7jbcxKvQjQR-HWxzlgfSLY,山边咖啡 Brae Café,02 2893 9325,https://www.facebook.com/BraeCafe,
ChIJZb55kW6rQjQR3vVUh5vYQ9w,川酒.咖啡,02 2731 0459,https://m.facebook.com/OldSeat/,
ChIJYzULsKapQjQRYydje7x5Uv8,川揚郁坊小館,02 2331 1117,https://www.facebook.com/yufang.restaurant/,
ChIJV_RfoperQjQRit9_MVtVUps,不二煮藝,02 2700 9880,,
ChIJe0uG6WupQjQRuMuJa1-1YQE,不萊梅 圓山店,02 2591 3005,https://www.facebook.com/Bremen%E4%B8%8D%E8%90%8A%E6%A2%85%E5%9C%93%E5%B1%B1%E5%BA%97-1106337509513940/?__tn__=%2Cdk*F*F-R&eid=ARCIUbJqKJ3v1yQ0LjZgXVfLuoJF5SIWsRbq4IiTp0yCyEw3SVQZeR0gVvMnswnBn5G5XTQxcEMNMyTh&tn-str=k*F,
ChIJFfVmWxOrQjQRpZNkwn69ODk,不萊梅Bremen忠孝店,02 2731 0007,,
ChIJZ86q7YarQjQR-xBj0x1I8lQ,不想早起 get up,02 2783 9873,https://linktr.ee/getup1025,
ChIJ9WtGHK2pQjQRSLa412XJHU4,中子廚房,0911 503 608,https://www.facebook.com/CTctKitchen,
ChIJk2LX-RqrQjQRSS2nzlB6eUA,中南58 手作•輕•飲•食,0937 623 477,https://www.facebook.com/zhongnan58?mibextid=ZbWKwL,
ChIJkbHoPeGpQjQRfrtDD6SufVY,中原早午餐,02 2523 2006,,
ChIJx7BexjypQjQRxzd5depLb-I,中華樓,02 2506 7858,,
ChIJ63TtzA2pQjQRYLTOoGVHw3g,丰禾 台味風格料理 台北南京東店,02 2507 6808,https://www.veggtable.com/,
ChIJ_1s2eRKvQjQR0hdltagyk1M,丰園小館,02 2832 0688,https://lin.ee/UiZYpKn,
ChIJrQJK7oyuQjQRiFNJVkxDYBU,五年九班,02 2828 0056,https://www.facebook.com/people/%E4%BA%94%E5%B9%B4%E4%B9%9D%E7%8F%AD/100063997003742/,
ChIJo3BK3iGrQjQRYymaetsWv68,五號廚房,02 2756 0799,https://www.facebook.com/profile.php?id=100091614622100,
ChIJlVpcPr2rQjQRT1GbZBFRr9w,元炁小鎮早午餐,02 2640 2274,,
ChIJvwXRVKGrQjQRRybMDkwdL2k,六年13班 複合式餐飲,02 8786 2201,,
ChIJ82GvfICsQjQRey8st1BvYjM,六品小館內湖店,02 8752 5106,https://www.facebook.com/lioupin.restaurant?mibextid=ZbWKwL,
ChIJz6ZRGACpQjQRvBPKifsQQXo,六堆伙房 北車站前店,02 2389 6139,https://www.liouduai.com.tw/,
ChIJN2doL1qrQjQR75pbsQemcKQ,勾勾漢堡早午餐,02 2789 3936,https://www.facebook.com/profile.php?id=100063935056922,
ChIJhcugMgKrQjQRsBPxJXoZMgw,化石先生Mr. Fossil 貓熊餐廳,02 2939 8151,https://www.mrfossil.com.tw/,
ChIJkSPQRqqrQjQRQAm7CU-MQPQ,午食在,02 2752 5510,,
ChIJ5wXpDCCvQjQRi2voKKlIiwk,及食早午餐,0925 032 019,,
ChIJmwqOmKSuQjQRWlu_u6CJh80,双胞胎手工蛋餅捲ㄦ,02 2882 5529,https://www.facebook.com/twinsomelette/,
ChIJz33cy4auQjQR65Hx_CQE9VU,天母紅瓦厝客家餐廳,02 2876 7407,,
ChIJtSeOoqKuQjQRZ_YxmJ94R2E,天母盛鑫-士林聚餐餐廳,02 2836 3588,http://www.gilleys.com.tw/,
ChIJjQVas5CuQjQRoAjioyEGYnA,天母omocafe 早午餐,02 2834 1668,https://www.facebook.com/%E5%A4%A9%E6%AF%8Domocaf%C3%A9-303954116805736/?ref=bookmarks,
ChIJu7beqj2vQjQRHONTMfd4CmA,天空廚房,0903 004 848,,
ChIJsfYkyp6pQjQRc15Kj0EOY7M,天然臺湘菜館,02 2391 1831,https://www.facebook.com/naturalhunan/,
ChIJHzxo8HKpQjQRBfRxUW6538E,太陽蕃茄拉麵 站前本店,02 2361 7188,https://www.facebook.com/Taiyotomato.tw,
ChIJeyrNBUKuQjQR9nEJ_PLE_Ps,少帥禪園-台北北投張學良幽禁舊居,02 2893 5336,https://sgarden.com.tw/,
ChIJpffEL-2sQjQR8QGHG2t4hJo,巴西里小館,02 2796 8098,http://www.facebook.com/parsleybistro,
ChIJD044UFytQjQRc2pdLITKvgE,巴特咬吐司,02 8797 1221,,
ChIJj4UWNH6uQjQR-Bw-4r4hnTE,巴登咖啡（台北天母店）,02 2873 4024,http://www.barden.com.tw/,
ChIJI-uHec6rQjQRolls8XbSbdY,心潮飯店,02 2723 9976,https://linktr.ee/sinchaoriceshoppe,
ChIJzXqVnm6sQjQR5X0s3e-tGys,方石頭早午餐,02 2627 7877,https://www.facebook.com/FunStone2017/,
ChIJUXPdsoCuQjQRqbxQ0TEjlgg,方家小館,02 2872 8402,https://lin.ee/w4eE6En,
ChIJteVMpiuqQjQR7gZef2PvpVA,日日香小館,02 2702 5735,https://www.facebook.com/DayDayAroma/,
ChIJZb9VDgCpQjQRhaY_ZUUnN9w,日日築食,02 2396 3378,,
ChIJ5223sNSpQjQRSh1w76UAFig,日禾町-丼飯專門店,0917 116 129,,
ChIJqXstuaWrQjQRQKbJCTfGMMs,日安精緻早午餐店,02 2759 8133,,
ChIJs48d5mipQjQRgxpTg-qw1y4,日式洋麵館 麵日和,02 2568 3135,https://www.facebook.com/share/1J9L5dvFuw/?mibextid=wwXIfr,
ChIJly83rLyuQjQRV8lqDPDM7kg,日式攤日式食堂,02 2880 3918,https://www.facebook.com/%E6%97%A5%E5%BC%8F%E6%94%A4-489711974387491/,
ChIJmVYrFACvQjQRIyBie8cp9Ek,日栖食居下酒菜-台北平價碳烤,02 2897 6222,https://www.facebook.com/share/1BBBZmPcB1/?mibextid=wwXIfr,
ChIJuTb8XQCtQjQRVwH92PTeyKU,日森軒 和洋料理,02 2653 8057,https://www.instagram.com/nichimoriken?igsh=Z3B0MnFnMXI5eTRt,
ChIJZ_SPz8GpQjQRcrvZHaeHces,木子豚日式豬排,02 2883 1692,https://www.facebook.com/%E6%9C%A8%E5%AD%90%E8%B1%9A-100367431638753/,
ChIJj-qVUQCrQjQRs846oJV2pkI,比比早午餐,0980 676 487,,
ChIJOSkYl6erQjQRiiFCc5B70cA,水豚屋CapybaraHouse,02 2528 5111,https://portaly.cc/capybarahousetw,
ChIJSXag0BKvQjQR2r-f-_NIhZo,水鳥公園52號,02 2858 3377,https://www.tapashouse.com.tw/bistro52,
ChIJncAcXYypQjQRRxSiHwm5-P0,水蛙家,02 2351 3502,,
ChIJo8cmveipQjQR5EtNvSKd0mw,水源市場．63號攤自助餐（李家灶咖）,02 2368 9709,,
ChIJx0bCJy6pQjQRGFbyiEYDeqQ,火月 咖啡.餐.酒館 F.M. Cafe & Bistro,02 2541 2218,,
ChIJVz_H32ipQjQRDDbDTPoI01Q,王品牛排 台北中山北店,02 2536 1350,https://www.wangsteak.com.tw/,
ChIJwwg1yqSsQjQRvlVdhq-2gdo,王家小館,0935 434 088,,
ChIJ9TaT71ipQjQR4Scb1Ixnomk,丘一司早午餐行天宮,02 2504 7659,https://www.facebook.com/%E4%B8%98%E5%BD%BC%E7%89%B9%E6%97%A9%E5%8D%88%E9%A4%90Cupid-169236296440111/,
ChIJt7q2W1etQjQR5enSm2KBcXs,丘一司早午餐瑞光,02 2659 0734,https://iding.tw/stores/f41884c7/menu/%E4%B8%98%E4%B8%80%E5%8F%B8%20%E5%85%A7%E6%B9%96%E5%8D%80%E7%91%9E%E5%85%89%E5%BA%97,
ChIJE1clDY6rQjQR_X-uDUZ7DSA,他。植物咖啡 He Coffee.,02 2747 6058,https://www.facebook.com/hecoffee.story/,
ChIJS1tUZACtQjQRa-AoAaWT-8M,令和博多拉麵,02 2633 9000,https://www.facebook.com/profile.php?id=61559236584603&mibextid=JRoKGi,
ChIJZ5vfxPOvQjQRQ4l-DizRSXk,凹屋珈琲,0975 878 675,https://instagram.com/awoo_kohii,
ChIJTW_h3LSrQjQR1CQQteePjco,加爾第咖啡 (莊敬店),02 2345 1136,http://www.kaldi-coffee.com.tw/,
ChIJ0eBcW7ipQjQRVDXcHDenjuU,加寶多早午餐店,0912 189 827,,
ChIJvQj5dJirQjQRj0D-DQwizDU,北平采芝樓餐廳,02 2761 4333,http://www.peking.com.tw/,
ChIJs4YuaK2vQjQRrvXDxF1AF0M,北投享樂早餐吧,02 2894 6161,,
ChIJf5b9IeOvQjQRXyHwj63mp6A,北投飢廠,02 2898 6400,https://www.facebook.com/%E5%8C%97%E6%8A%95%E9%A3%A2%E5%BB%A0%E6%97%A9%E5%8D%88%E9%A4%90%E4%B8%AD%E8%A5%BF%E5%BC%8F%E7%B0%A1%E9%A4%90-109367787565858/,
ChIJY3SpVBqpQjQR2n727CJgCuk,北棲 邸家 North house -,02 3343 3587,https://instagram.com/87northhouse?igshid=1ujtdazqe2hux,
ChIJx5xcVLqrQjQRefj2K5gdaZo,北緯二十五,02 6622 8018,http://www.lemeridien-taipei.com/#/cuisine/4,
ChIJZUThIK6rQjQRKqXJzCnThHI,卡好食堂,0966 679 162,https://www.facebook.com/pages/category/Donburi-Restaurant/%E5%8D%A1%E5%A5%BD%E9%A3%9F%E5%A0%82-115003966544971/,
ChIJn72PuIutQjQRE74FuUzNke0,卡洛斯工坊,0975 229 528,https://instagram.com/carlos__studio?r=nametag,
ChIJN-86KZStQjQR2WUpchtrM6Q,卡啡那 內湖啟航館,02 2799 0618,https://www.caffaina.com/,
ChIJbVX_de-rQjQR_GoMzPwOjNU,卡賀廚房早午餐（巨蛋南京店）,02 8770 7818,,
ChIJffrnHuGrQjQRAkbFMOqWVLs,卡頌披薩工坊,02 2501 0110,,
ChIJ5WXE1QSrQjQR939GUfh1Mhc,古德默尼早午餐「台北店」,02 2230 5931,,
ChIJS72tQS6pQjQRYdRsgI8Ay-E,古摩尼 GOOD MORNING,02 2508 0855,,
ChIJHdoY6IetQjQRCKz8TiLjCQ0,只有我在做,,https://customer.posky.net/store/b4e6c58b-3860-45d4-8b9f-4901403614f5/menu?openExternalBrowser=1,
ChIJx7sOp-mtQjQRMzdKR06o0rE,可可熱壓吐司（早午餐）,0958 358 232,https://instagram.com/coco__toast?utm_medium=copy_link,
ChIJpSLkimKsQjQRV3P6SI-arGs,可來富麵包蛋餅店（內湖店）早午餐營業到14:00,02 2658 1211,https://liff.line.me/1645278921-kWRPP32q?accountId=197lrcfg&openerPlatform=native&openerKey=unifiedSearch#mst_challenge=HscEQkalm0M-7DfTTzrrGTChnM8pQbIscNRRt4EVPtk,
ChIJj3oVX-GpQjQR4dbvBh0_Nb0,可蜜達吐司（北門店）,0916 678 489,https://page.line.me/121zcrat,
ChIJF4epouqtQjQRaUs5saTsmcg,台北。初早餐,02 2630 5253,,
ChIJJVBTsHGpQjQRujvx-I3zXPI,台北喜來登大飯店-請客樓,02 2321 1818,http://www.sheratongrandtaipei.com/websev?lang=zh-tw&ref=pages&cat=2&id=18,
ChIJ-_bMiiitQjQRVwXUA-8CaPs,四川龍府,02 2630 5282,http://lungrestaurant.oddle.me/,
ChIJd4z7Br2sQjQRultjCzD1yv4,四姊的意大利麵,02 2633 1006,https://www.facebook.com/%E5%9B%9B%E5%A7%8A%E7%9A%84%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5-197610240262893/,
ChIJHbs61jEAaDQRaDrp756YR4g,四哥的店,02 2939 2832,http://cctea.com.tw/,
ChIJD2QAcsCrQjQRsoPgiqP9iBU,四海一家,02 2767 2407,https://www.facebook.com/%E5%9B%9B%E6%B5%B7%E4%B8%80%E5%AE%B6%E9%A4%90%E5%BB%B3-%E5%89%B5%E7%AB%8B%E6%96%BC1970%E5%B9%B4-440807629442521/,
ChIJ4wxUtBWoQjQRmgSDVP95tgE,四維咖啡商號 Cafe4way 民生社區咖啡廳 提拉米蘇 昭和布丁,02 3765 5088,https://www.cafe4way.com.tw/,
ChIJNT23IbusQjQRB25-jnPQOQU,夯麵坊(東湖店),02 2634 3000,https://www.facebook.com/hhotpasta/,
ChIJA1MGT4ysQjQRE42zUygB3bs,夯麵坊成功店,02 2794 3222,https://facebook.com/%E5%85%A7%E6%B9%96%E5%A4%AF%E9%BA%B5%E5%9D%8A-165397150176093/,
ChIJzSUlFKSrQjQR1LY9ywUZ0oM,巧味軒早午餐店,02 8789 2565,,
ChIJhxfETbyuQjQRmD7M7JYcSXk,巧果子,02 2836 3078,http://www.facebook.com/spaghettionly/,
ChIJ6W1KrQOvQjQRH379YYuesMk,巧晨咖啡館,02 2823 2268,https://mattinachiochen.my.canva.site/cream-black-minimalist-elegant-link-in-bio-our-services-instagram-story,
ChIJ7wS6wmKsQjQRxU50zTjtGg0,布克湖義式坊,02 2627 5581,https://m.facebook.com/pages/%E5%B8%83%E5%85%8B%E6%B9%96%E7%BE%A9%E5%BC%8F%E5%9D%8A/128469533892300,
ChIJ-xdRFYuuQjQRLkIxuLlhl3U,布咯漢堡 BURGER,02 2822 1393,https://morning-api.cinpos.com/line-online/scan/qrcode/696020,
ChIJMVwDd4OpQjQRE1PT6aGqzSw,布查花園法式料理 金華,02 2395 9572,http://lescargots.eatingout.com.tw/,
