name,district,cuisine,phone,website_url,reservation_url,place_id
55号BRUNCH早餐店,內湖區,早午餐,02 2634 2821,,,ChIJvzjuDb2sQjQReX8NDADrayk
86義大利麵,士林區,義大利料理,02 2838 1689,https://www.facebook.com/86fresh/,,ChIJLdS6e-yvQjQRPR4mQ-uDddo
92水鳥,北投區,西班牙料理,02 2858 8668,https://www.tapashouse.com.tw/tapas92,,ChIJdYbLUxOvQjQRfTcV2nf560Q
一間咖啡花茶簡餐店,中正區,咖啡廳,02 2388 9688,https://www.facebook.com/pages/J%E4%B8%80%E9%96%93%E5%92%96%E5%95%A1%E8%8A%B1%E8%8C%B6%E7%B0%A1%E9%A4%90/254929871269940,,ChIJ_at8yxipQjQRoy_8Sfl7fjk
一鑫(一心)鵝肉,萬華區,中式料理,02 2306 8838,,,ChIJv3Jm0qipQjQRO4TqszGi_fc
九日咖啡（老店）9 Days Coffee,萬華區,咖啡廳,02 2306 2885,,,ChIJxzPiMampQjQR7lFBc-z3SSs
九如 義大利麵 蛋包飯,中山區,義大利料理,02 2542 3321,,,ChIJQ7TFVlmpQjQRuitpST9NrpY
九湯屋日式拉麵 台北士林中正店,士林區,拉麵,02 2831 0190,,,ChIJV3gdP2ivQjQRGIffCx1zcsM
九點零一分韓式早午餐,中山區,韓式料理,0908 163 036,https://myppt.cc/JUekn,,ChIJFVHeZlypQjQRn6Cbt_jLTD0
八方悅日式鍋物 北投永興店,北投區,火鍋,02 8228 7399,https://8funyay.com/,,ChIJk0LydwWvQjQRaRVaP2OOp3o
八藤家,士林區,日式料理,02 2875 3063,https://www.instagram.com/abc28753185/,,ChIJZcgOlIeuQjQRutc16fs58Hg
十得私廚-台菜料理,,中式料理,0933 737 893,https://shidecomtw.com/,,ChIJ929ecNCrQjQRDBlncDmASXA
三亞米售完提早打烊，最後點菜16:30,信義區,早午餐,02 2346 0002,,,ChIJSWJDv_SrQjQR5qvn_mwEjwU
三隻猴子美食廚房 3 Monkeys kitchen,信義區,披薩,02 2662 0055,https://www.facebook.com/3-monkeys-%E4%B8%89%E9%9A%BB%E7%8C%B4%E5%AD%90%E7%BE%8E%E9%A3%9F%E5%BB%9A%E6%88%BF-107222184809211/,,ChIJ0VQM3aKrQjQRUZ8FG4sSA-s
上山採覓,中山區,早午餐,02 2517 0709,https://lifemoun.tw/,,ChIJc1u3TfurQjQRskNy0tE9hCg
上享庭園餐廳,北投區,中式料理,02 2894 1808,https://inline.app/booking/-LmdC7mfh9gjasAHdJAx:inline-live-1/-LmdC8C0kQOPWfguGvlm?language=zh-tw,,ChIJg2MM8VGuQjQRF16ushVKQGw
上品客家小館,信義區,中式料理,02 2758 0045,http://www.facebook.com/changmama269,,ChIJN7t0M02qQjQR30gCnEEMbhw
上海宴,大安區,中式料理,0989 936 108,https://www.facebook.com/shanghaiyan888/,,ChIJnclSGvKrQjQRnGBYr16yeU0
上海鄉村 濟南店,中正區,中式料理,02 2322 3333,http://www.shanghaikitchen.com.tw/,,ChIJX8eX-HapQjQRy9LwKA9dxCM
千螢早餐店,大安區,早午餐,02 2755 7760,,,ChIJ_9PRANKrQjQRbo33FDEvocI
大一女美食餐廳,大安區,自助餐,02 8369 5637,,,ChIJQQ4fUYqpQjQRo8HegHH7Yew
大戶屋 台北凱撒店,中正區,日式料理,02 2361 2377,http://www.ootoya.com.tw/,,ChIJubOd-nKpQjQR9ZIk7V6t7WE
大戶屋 松山車站店,信義區,日式料理,02 2528 7775,http://www.ootoya.com.tw/,,ChIJS2oVop6rQjQRF7WCG3-Tzwk
大戶屋 統一時代台北店,信義區,日式料理,02 8978 0886,http://www.ootoya.com.tw/,,ChIJ3259YLmrQjQRvk0pEymzGXQ
大戶屋行天宮站店,,日式料理,02 2562 5811,,,ChIJGeUSyV6pQjQR3ChjSq2Pzmc
大戶屋東湖店,內湖區,日式料理,02 2633 8839,http://www.ootoya.com.tw/,,ChIJia7qaLusQjQRKvLJZQ-O7g4
大戶屋新北投店,北投區,日式料理,02 2895 1255,http://www.ootoya.com.tw/,,ChIJgcXkf1CuQjQRc3SOGvEDkvk
大戶屋誠品南西店,中山區,日式料理,02 2531 1808,http://www.ootoya.com.tw/,,ChIJuX3KNWipQjQROrWPgPThYhc
大木屋,士林區,日式料理,02 8866 1882,,,ChIJdx-Kr5OvQjQR7EqeVkiFsWk
大城早午餐,萬華區,早午餐,02 2308 5878,https://www.facebook.com/%E5%A4%A7%E5%9F%8E%E6%97%A9%E5%8D%88%E9%A4%90-1628353847381724/,,ChIJcY8PAKepQjQR2amPr6VDbIo
大春廚房,內湖區,義大利料理,0987 944 284,https://www.facebook.com/%E5%A4%A7%E6%98%A5%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5-2229061397338336/,,ChIJb5lNxSqtQjQRf59m5TxmF_o
大為廚坊,士林區,台式料理,02 2871 7766,https://www.facebook.com/%E5%A4%A7%E7%82%BA%E5%BB%9A%E5%9D%8A-636545429821565/,,ChIJr_Ztmn2uQjQRvLHz4FTo-_Q
大院子,大安區,西式料理,02 2369 7357,https://www.facebook.com/TheHistoricalGrandCourtyard/,,ChIJE3nu7rWpQjQRaQOvDIWq5FM
大烹小饌 福客粥,松山區,中式料理,02 2747 6261,https://www.greathuta.com/,,ChIJb8PqPa2rQjQRFccELUVuSlo
大勝手作早午餐內湖店,內湖區,早午餐,0912 446 255,,,ChIJedKtv4atQjQRWnFLUWmqUTA
大象飯館(大象吃咖哩2.0),大同區,日式料理,02 2599 5595,,,ChIJ5c_DMaKpQjQRvlJFgB4AboI
大蒜義式加州廚房,信義區,義大利料理,02 2758 5918,,,ChIJC8EevbSrQjQRptByC6VR5rk
大樹先生的家,大安區,複合式料理,02 3393 3313,https://mr-tree.webnode.tw/,,ChIJaSZ-CpupQjQRaqvVbaJ4FaM
女娘的店,士林區,中式料理,02 2874 1981,https://redlantern.eatingout.com.tw/catalog.asp,,ChIJ24Za5H-uQjQRVinjqQDbZUo
子木咖啡,松山區,咖啡廳,02 2713 4890,,,ChIJBy9WAHyrQjQRCDU8Cp-PLAc
小日子lazyday,文山區,咖啡廳,02 2301 7070,https://www.facebook.com/lazyday,,ChIJjTvL5jEAaDQRNmeCT3xxzxU
小皮蛋食堂,中山區,早午餐,0982 178 655,https://portal.wifiotg.com/activities/E4gnJlvmW/link/QaNXGbOQl?campaignId=E4gnJlvmW&campaignType=activity&sourceType=links&businessId=P_6JLEqvq0N,,ChIJg46c7XqpQjQRteb5r9TthIg
小肚子私房料理,士林區,台式料理,02 2832 2520,https://store.dudooeat.com/order/store/9f863c236d1448bcb4145f31e2fb9cc8,,ChIJsU0If6ivQjQRwIx85Fv2f_o
小豆島日式烏龍麵(石牌形象店),北投區,日式料理,02 2828 3368,,,ChIJ3WmlLQCvQjQRVKI5zuRlEsU
小旺號 - 公館店,中正區,早午餐,02 2367 8716,http://www.showwant.com.tw/,,ChIJJZUgxIqpQjQRNgt_MjaUBB0
小南風咖啡 Minami Cafe,大安區,咖啡廳,02 2362 2737,https://minamicafe.carrd.co/,,ChIJufENh4-pQjQR97xj6L-J9eo
小南港-懶人私廚,南港區,早午餐,0905 271 685,http://www.facebook.com/Nankang2014,,ChIJbxyLRlirQjQRRO4iZVRY6Uc
小紅花Cafe,北投區,早午餐,0981 097 975,,,ChIJr3yJdCivQjQRTw7whA_c6VU
小庭院泰食,內湖區,泰式料理,02 2657 1460,https://xiaotingyuan.weebly.com/,,ChIJdUh_TNGtQjQRQVbtYiPl_1w
小紐約披薩 中山店 LNYPIZZA Little New York Pizzeria Zhongshan,中山區,披薩,02 2511 0105,https://www.facebook.com/lnyzhongshan/?modal=admin_todo_tour,,ChIJNb6GQrWpQjQRImUqecT3qcQ
小紐約披薩 敦南店 LNYPIZZA Dunnan little New York pizzeria,,披薩,02 2579 6692,https://www.instagram.com/,,ChIJ0cV-48OrQjQRnS93QuZM59k
小院子⋄特色地方熱炒⋄陝西外省⋄麵食⋄飯類⋄,松山區,中式料理,02 3765 1103,https://xiaoyuanzi-rechao.weebly.com/,,ChIJB8HhqYurQjQRSOLmsl5TQFQ
小飯館兒,中正區,韓式料理,02 2369 8800,,,ChIJVVVVVRWsQjQRmPdlBQr3qys
小義城義大利麵 本店 ( 松山 ),松山區,義大利料理,02 2747 6653,https://www.facebook.com/easonpasta,,ChIJtQu-B5yrQjQRnaOoD4-V3VY
小蒔日咖哩,大同區,日式料理,02 2559 0100,,,ChIJeWZB7-upQjQR2XDGRe7nT_I
小器食堂微風南山店,信義區,日式料理,02 2723 0979,https://thexiaoqi.com/,,ChIJo7MDdNOrQjQRHj-ZspLJxYw
小樹天然早午餐,內湖區,早午餐,02 2630 5807,https://www.facebook.com/profile.php?id=100043052007030,,ChIJtb9NmICsQjQRnd1IUZ7oRaY
小鬍子丼ヒゲちゃん,萬華區,日式料理,02 2314 3554,,,ChIJsyC8HAmpQjQRJhlFsK6wvYA
山本漢堡排,大安區,日式料理,02 2711 3816,https://www.facebook.com/orehan.taiwan/,,ChIJ2S6bSsarQjQRoYoAwWWKZGM
山边咖啡 Brae Café,北投區,咖啡廳,02 2893 9325,https://www.facebook.com/BraeCafe,,ChIJk7jbcxKvQjQR-HWxzlgfSLY
川揚郁坊小館,中正區,中式料理,02 2331 1117,https://www.facebook.com/yufang.restaurant/,,ChIJYzULsKapQjQRYydje7x5Uv8
不萊梅 圓山店,大同區,義大利料理,02 2591 3005,https://www.facebook.com/Bremen%E4%B8%8D%E8%90%8A%E6%A2%85%E5%9C%93%E5%B1%B1%E5%BA%97-1106337509513940/?__tn__=%2Cdk*F*F-R&eid=ARCIUbJqKJ3v1yQ0LjZgXVfLuoJF5SIWsRbq4IiTp0yCyEw3SVQZeR0gVvMnswnBn5G5XTQxcEMNMyTh&tn-str=k*F,,ChIJe0uG6WupQjQRuMuJa1-1YQE
不想早起 get up,南港區,早午餐,02 2783 9873,https://linktr.ee/getup1025,,ChIJZ86q7YarQjQR-xBj0x1I8lQ
中子廚房,大同區,複合式料理,0911 503 608,https://www.facebook.com/CTctKitchen,,ChIJ9WtGHK2pQjQRSLa412XJHU4
中南58 手作•輕•飲•食,南港區,咖啡廳,0937 623 477,https://www.facebook.com/zhongnan58?mibextid=ZbWKwL,,ChIJk2LX-RqrQjQRSS2nzlB6eUA
中原早午餐,中山區,早午餐,02 2523 2006,,,ChIJkbHoPeGpQjQRfrtDD6SufVY
中華樓,中山區,中式料理,02 2506 7858,,,ChIJx7BexjypQjQRxzd5depLb-I
丰園小館,士林區,中式料理,02 2832 0688,https://lin.ee/UiZYpKn,,ChIJ_1s2eRKvQjQR0hdltagyk1M
五年九班,中山區,早午餐,02 2828 0056,https://www.facebook.com/people/%E4%BA%94%E5%B9%B4%E4%B9%9D%E7%8F%AD/100063997003742/,,ChIJrQJK7oyuQjQRiFNJVkxDYBU
元炁小鎮早午餐,,早午餐,02 2640 2274,,,ChIJlVpcPr2rQjQRT1GbZBFRr9w
六年13班 複合式餐飲,信義區,複合式餐飲,02 8786 2201,,,ChIJvwXRVKGrQjQRRybMDkwdL2k
六堆伙房 北車站前店,中正區,中式料理,02 2389 6139,https://www.liouduai.com.tw/,,ChIJz6ZRGACpQjQRvBPKifsQQXo
勾勾漢堡早午餐,南港區,美式料理,02 2789 3936,https://www.facebook.com/profile.php?id=100063935056922,,ChIJN2doL1qrQjQR75pbsQemcKQ
化石先生Mr. Fossil 貓熊餐廳,文山區,義大利料理,02 2939 8151,https://www.mrfossil.com.tw/,,ChIJhcugMgKrQjQRsBPxJXoZMgw
午食在,松山區,台式料理,02 2752 5510,,,ChIJkSPQRqqrQjQRQAm7CU-MQPQ
及食早午餐,北投區,早午餐,0925 032 019,,,ChIJ5wXpDCCvQjQRi2voKKlIiwk
双胞胎手工蛋餅捲ㄦ,士林區,早午餐,02 2882 5529,https://www.facebook.com/twinsomelette/,,ChIJmwqOmKSuQjQRWlu_u6CJh80
天母紅瓦厝客家餐廳,士林區,中式料理,02 2876 7407,,,ChIJz33cy4auQjQR65Hx_CQE9VU
天母omocafe 早午餐,,早午餐,02 2834 1668,https://www.facebook.com/%E5%A4%A9%E6%AF%8Domocaf%C3%A9-303954116805736/?ref=bookmarks,,ChIJjQVas5CuQjQRoAjioyEGYnA
天空廚房,北投區,複合式料理,0903 004 848,,,ChIJu7beqj2vQjQRHONTMfd4CmA
太陽蕃茄拉麵 站前本店,中正區,拉麵,02 2361 7188,https://www.facebook.com/Taiyotomato.tw,,ChIJHzxo8HKpQjQRBfRxUW6538E
巴西里小館,內湖區,中式料理,02 2796 8098,http://www.facebook.com/parsleybistro,,ChIJpffEL-2sQjQR8QGHG2t4hJo
巴特咬吐司,內湖區,早午餐,02 8797 1221,,,ChIJD044UFytQjQRc2pdLITKvgE
巴登咖啡（台北天母店）,士林區,咖啡廳,02 2873 4024,http://www.barden.com.tw/,,ChIJj4UWNH6uQjQR-Bw-4r4hnTE
方石頭早午餐,內湖區,早午餐,02 2627 7877,https://www.facebook.com/FunStone2017/,,ChIJzXqVnm6sQjQR5X0s3e-tGys
日日香小館,大安區,中式料理,02 2702 5735,https://www.facebook.com/DayDayAroma/,,ChIJteVMpiuqQjQR7gZef2PvpVA
日禾町-丼飯專門店,中山區,日式料理,0917 116 129,,,ChIJ5223sNSpQjQRSh1w76UAFig
日安精緻早午餐店,信義區,早午餐,02 2759 8133,,,ChIJqXstuaWrQjQRQKbJCTfGMMs
日式洋麵館 麵日和,中山區,義大利料理,02 2568 3135,https://www.facebook.com/share/1J9L5dvFuw/?mibextid=wwXIfr,,ChIJs48d5mipQjQRgxpTg-qw1y4
日式攤日式食堂,士林區,日式料理,02 2880 3918,https://www.facebook.com/%E6%97%A5%E5%BC%8F%E6%94%A4-489711974387491/,,ChIJly83rLyuQjQRV8lqDPDM7kg
日栖食居下酒菜-台北平價碳烤,北投區,日式料理,02 2897 6222,https://www.facebook.com/share/1BBBZmPcB1/?mibextid=wwXIfr,,ChIJmVYrFACvQjQRIyBie8cp9Ek
日森軒 和洋料理,南港區,日式料理,02 2653 8057,https://www.instagram.com/nichimoriken?igsh=Z3B0MnFnMXI5eTRt,,ChIJuTb8XQCtQjQRVwH92PTeyKU
木子豚日式豬排,士林區,日式料理,02 2883 1692,https://www.facebook.com/%E6%9C%A8%E5%AD%90%E8%B1%9A-100367431638753/,,ChIJZ_SPz8GpQjQRcrvZHaeHces
比比早午餐,南港區,早午餐,0980 676 487,,,ChIJj-qVUQCrQjQRs846oJV2pkI
水鳥公園52號,北投區,歐陸料理,02 2858 3377,https://www.tapashouse.com.tw/bistro52,,ChIJSXag0BKvQjQR2r-f-_NIhZo
水蛙家,中正區,台式料理,02 2351 3502,,,ChIJncAcXYypQjQRRxSiHwm5-P0
火月 咖啡.餐.酒館 F.M. Cafe & Bistro,中山區,法式料理,02 2541 2218,,,ChIJx0bCJy6pQjQRGFbyiEYDeqQ
王品牛排 台北中山北店,中山區,牛排館,02 2536 1350,https://www.wangsteak.com.tw/,,ChIJVz_H32ipQjQRDDbDTPoI01Q
王家小館,內湖區,中式料理,0935 434 088,,,ChIJwwg1yqSsQjQRvlVdhq-2gdo
丘一司早午餐行天宮,中山區,早午餐,02 2504 7659,https://www.facebook.com/%E4%B8%98%E5%BD%BC%E7%89%B9%E6%97%A9%E5%8D%88%E9%A4%90Cupid-169236296440111/,,ChIJ9TaT71ipQjQR4Scb1Ixnomk
丘一司早午餐瑞光,內湖區,早午餐,02 2659 0734,https://iding.tw/stores/f41884c7/menu/%E4%B8%98%E4%B8%80%E5%8F%B8%20%E5%85%A7%E6%B9%96%E5%8D%80%E7%91%9E%E5%85%89%E5%BA%97,,ChIJt7q2W1etQjQR5enSm2KBcXs
令和博多拉麵,內湖區,日式料理,02 2633 9000,https://www.facebook.com/profile.php?id=61559236584603&mibextid=JRoKGi,,ChIJS1tUZACtQjQRa-AoAaWT-8M
凹屋珈琲,士林區,咖啡廳,0975 878 675,https://instagram.com/awoo_kohii,,ChIJZ5vfxPOvQjQRQ4l-DizRSXk
加寶多早午餐店,中正區,早午餐,0912 189 827,,,ChIJ0eBcW7ipQjQRVDXcHDenjuU
北平采芝樓餐廳,信義區,中式料理,02 2761 4333,http://www.peking.com.tw/,,ChIJvQj5dJirQjQRj0D-DQwizDU
北投享樂早餐吧,北投區,早午餐,02 2894 6161,,,ChIJs4YuaK2vQjQRrvXDxF1AF0M
北緯二十五,信義區,咖啡廳,02 6622 8018,http://www.lemeridien-taipei.com/#/cuisine/4,,ChIJx5xcVLqrQjQRefj2K5gdaZo
卡好食堂,南港區,日式料理,0966 679 162,https://www.facebook.com/pages/category/Donburi-Restaurant/%E5%8D%A1%E5%A5%BD%E9%A3%9F%E5%A0%82-115003966544971/,,ChIJZUThIK6rQjQRKqXJzCnThHI
卡洛斯工坊,士林區,義大利料理,0975 229 528,https://instagram.com/carlos__studio?r=nametag,,ChIJn72PuIutQjQRE74FuUzNke0
卡賀廚房早午餐（巨蛋南京店）,松山區,早午餐,02 8770 7818,,,ChIJbVX_de-rQjQR_GoMzPwOjNU
卡頌披薩工坊,中山區,披薩,02 2501 0110,,,ChIJffrnHuGrQjQRAkbFMOqWVLs
古摩尼 GOOD MORNING,中山區,早午餐,02 2508 0855,,,ChIJS72tQS6pQjQRYdRsgI8Ay-E
只有我在做,內湖區,早午餐,,https://customer.posky.net/store/b4e6c58b-3860-45d4-8b9f-4901403614f5/menu?openExternalBrowser=1,,ChIJHdoY6IetQjQRCKz8TiLjCQ0
可可熱壓吐司（早午餐）,內湖區,早午餐,0958 358 232,https://instagram.com/coco__toast?utm_medium=copy_link,,ChIJx7sOp-mtQjQRMzdKR06o0rE
可來富麵包蛋餅店（內湖店）早午餐營業到14:00,內湖區,烘焙/甜點,02 2658 1211,https://liff.line.me/1645278921-kWRPP32q?accountId=197lrcfg&openerPlatform=native&openerKey=unifiedSearch#mst_challenge=HscEQkalm0M-7DfTTzrrGTChnM8pQbIscNRRt4EVPtk,,ChIJpSLkimKsQjQRV3P6SI-arGs
可蜜達吐司（北門店）,中正區,早午餐,0916 678 489,https://page.line.me/121zcrat,,ChIJj3oVX-GpQjQR4dbvBh0_Nb0
台北。初早餐,內湖區,早午餐,02 2630 5253,,,ChIJF4epouqtQjQRaUs5saTsmcg
台北喜來登大飯店-請客樓,中正區,中式料理,02 2321 1818,http://www.sheratongrandtaipei.com/websev?lang=zh-tw&ref=pages&cat=2&id=18,,ChIJJVBTsHGpQjQRujvx-I3zXPI
四川龍府,內湖區,中式料理,02 2630 5282,http://lungrestaurant.oddle.me/,,ChIJ-_bMiiitQjQRVwXUA-8CaPs
四姊的意大利麵,內湖區,義大利料理,02 2633 1006,https://www.facebook.com/%E5%9B%9B%E5%A7%8A%E7%9A%84%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5-197610240262893/,,ChIJd4z7Br2sQjQRultjCzD1yv4
四哥的店,文山區,中式料理,02 2939 2832,http://cctea.com.tw/,,ChIJHbs61jEAaDQRaDrp756YR4g
四維咖啡商號 Cafe4way 民生社區咖啡廳 提拉米蘇 昭和布丁,松山區,咖啡廳,02 3765 5088,https://www.cafe4way.com.tw/,,ChIJ4wxUtBWoQjQRmgSDVP95tgE
夯麵坊(東湖店),內湖區,義大利料理,02 2634 3000,https://www.facebook.com/hhotpasta/,,ChIJNT23IbusQjQRB25-jnPQOQU
夯麵坊成功店,內湖區,義大利料理,02 2794 3222,https://facebook.com/%E5%85%A7%E6%B9%96%E5%A4%AF%E9%BA%B5%E5%9D%8A-165397150176093/,,ChIJA1MGT4ysQjQRE42zUygB3bs
巧味軒早午餐店,信義區,早午餐,02 8789 2565,,,ChIJzSUlFKSrQjQR1LY9ywUZ0oM
巧果子,士林區,咖啡廳,02 2836 3078,http://www.facebook.com/spaghettionly/,,ChIJhxfETbyuQjQRmD7M7JYcSXk
布克湖義式坊,內湖區,義大利料理,02 2627 5581,https://m.facebook.com/pages/%E5%B8%83%E5%85%8B%E6%B9%96%E7%BE%A9%E5%BC%8F%E5%9D%8A/128469533892300,,ChIJ7wS6wmKsQjQRxU50zTjtGg0
布咯漢堡 BURGER,北投區,早午餐,02 2822 1393,https://morning-api.cinpos.com/line-online/scan/qrcode/696020,,ChIJ-xdRFYuuQjQRLkIxuLlhl3U
布查花園法式料理 金華,大安區,法式料理,02 2395 9572,http://lescargots.eatingout.com.tw/,,ChIJMVwDd4OpQjQRE1PT6aGqzSw
布朗尼咖啡餐廳Brownies Cafe,信義區,咖啡廳,02 8786 0833,,,ChIJzyk2-LirQjQRQy3ZVyOSYXk
布納咖啡館 信義館,信義區,小酒館/餐酒館,02 2758 9886,http://www.buna.com.tw/,,ChIJOSbdSz2rQjQRtqbdUdBUfr8
弘弘朝食（南港1店）,南港區,早午餐,02 2653 3456,https://www.facebook.com/Thor0709,,ChIJg1GiGNWrQjQRJZu26Qf5DU0
必勝客 石牌致遠店,北投區,披薩,02 2823 0800,https://www.pizzahut.com.tw/,,ChIJTZdhJ5OuQjQRc3k35AVkjHA
必勝客 光復餐廳店,大安區,披薩,02 2776 6600,https://www.pizzahut.com.tw/,,ChIJdZ60BserQjQR3cKEXVMVFBU
未來咖啡Dream Caf'e,中山區,咖啡廳,02 2567 6810,https://www.facebook.com/616DreamCafe,,ChIJ0Y1KaFmpQjQRk0x7ylPDjq0
正紅早午餐,松山區,早午餐,02 2742 2215,,,ChIJtVj_EfWrQjQRjf8tZaifihk
正當冰台北劍潭店 簡餐貓咪咖啡廳,士林區,早午餐,02 2891 9117,https://store.dudooeat.com/orderv2/menu/8f8ed466dd6c487998dfde3c0b45b8a5,,ChIJyTjg-oCvQjQRhwEWEuKnZvU
民彩,大安區,韓式料理,02 2705 9896,,,ChIJ3T8zRs6rQjQRjBJiUOZkbMI
民樂園私廚,大同區,中式料理,02 2550 1280,https://www.ecoaka.com/eat-drink/aka-cafe,,ChIJzwJyNACpQjQRHdGFtGIMWdw
永心鳳茶奶茶專門所 YONSHIN MILKTEA MANSION,信義區,台式料理,02 2722 0876,https://linktr.ee/ymtmatre,,ChIJx9kLTcCrQjQReOhQ7rph6sY
永吉川湘小館,大同區,中式料理,02 2557 0787,,,ChIJx-Xy80CpQjQRGgJv-W5sa_A
永和豆漿（公館臺大店）,中正區,早午餐,02 2364 3733,,,ChIJ3QVC-o2pQjQRCp7DPyA_6tY
汁男炭烤吐司,中山區,早午餐,02 2516 6408,https://www.facebook.com/juicyman3p/,,ChIJOX3oZ4WpQjQR1_QfTeS95Hg
玉米田精緻早午餐,中山區,早午餐,02 2562 4797,https://lin.ee/trnpwkd,,ChIJB_tqmlupQjQRcIEdtW3HBhg
瓦尼 Wani 美式早午餐,北投區,美式料理,02 2896 5143,https://www.facebook.com/WaniDeliciousFood/,,ChIJjfknu1mvQjQRhh4f8KGxXUg
瓦城泰國料理 - 內湖CITYLINK店,內湖區,泰式料理,02 2791 2869,https://www.thaitown.com.tw/,,ChIJVzxM98-tQjQRyEkinqwEW_o
瓦城泰國料理 - 松山車站店,信義區,泰式料理,02 2528 1080,https://www.thaitown.com.tw/,,ChIJG1dfpJ6rQjQR380hhnhku44
瓦城泰國料理 - 南港車站店,南港區,泰式料理,02 2785 6522,http://www.thaitown.com.tw/,,ChIJj85vZ2erQjQRjb9xUwVQaNM
瓦城泰國料理 - 微風信義店,信義區,泰式料理,02 2758 2329,https://www.thaitown.com.tw/,,ChIJ5TAl0gerQjQRy-PEPP0RNuE
田中園 內湖店,內湖區,燒肉,02 2794 0194,https://cat741214.pixnet.net/blog/post/65218546-%E3%80%94%E8%A4%87%E5%90%88%E5%BC%8F%2A%E5%85%A7%E6%B9%96%E3%80%95%E5%AD%B8%E7%94%9F%E6%99%82%E6%9C%9F%E5%9B%9E%E6%86%B6%E8%B5%B7~~%E7%94%B0%E4%B8%AD%E5%9C%92%E6%B3%A1%E6%B2%AB,,ChIJ4Z8YGY2sQjQRxOZSCQRmIWw
田中園(微風南京店）,松山區,中式料理,02 2718 1910,https://tanakagarden.tw/,,ChIJNR6EwOerQjQRdm-NnC3KFgg
甲蟲秘境,士林區,親子餐廳,02 2832 2528,https://inline.app/booking/-Ms-c35Cl4tkU6gcEp95:inline-live-2/-Ms-c3J2V-OLEqlouoG3?language=zh-tw,,ChIJsS8FHNyvQjQRwtaRVpPMyAI
白菜小姐義式坊,內湖區,義大利料理,02 2659 9066,,,ChIJFRwCvjitQjQRIUW3FrHbvlw
目覺北城,,咖啡廳,02 2939 0888,https://lin.ee/gwAjBNw,,ChIJT13kE7oBaDQRJqx1uICsGL8
石頭厝大腸麵線（文山景福店）,文山區,早午餐,02 2930 2960,,,ChIJ6a7GUAmrQjQRdL5fxkvmn1o
伊通早午餐,中山區,早午餐,02 2501 0606,,,ChIJ24Gr1pCpQjQRwJxVdWdCKeA
伍食 No.510,內湖區,早午餐,02 2633 5677,,,ChIJr2qjPjytQjQRYuB3XERAgv8
